,player_name,total_matches,innings,runs,high_score,average,srike_rate
0,kl-rahul,14,14,670,                    132*                ,                    55.83                ,                    129.34                
1,shikhar-dhawan,16,16,603,                    106*                ,                    46.38                ,                    145.65                
2,david-warner,16,16,548,                    85*                ,                    39.14                ,                    134.64                
3,ishan-kishan,13,12,483,                    99                ,                    53.66                ,                    144.17                
4,quinton-de-kock,15,15,483,                    78*                ,                    37.15                ,                    139.59                
5,devdutt-padikkal,15,15,473,                    74                ,                    31.53                ,                    124.80                
6,virat-kohli,15,15,466,                    90*                ,                    42.36                ,                    121.35                
7,suryakumar-yadav,15,14,461,                    79*                ,                    41.90                ,                    148.23                
8,ab-de-villiers,15,14,454,                    73*                ,                    45.40                ,                    158.74                
9,shreyas-iyer,16,16,454,                    88*                ,                    30.26                ,                    122.37                
10,faf-du-plessis,13,13,449,                    87*                ,                    40.81                ,                    140.75                
11,shubman-gill,14,14,440,                    70*                ,                    33.84                ,                    117.96                
12,manish-pandey,16,15,425,                    83*                ,                    32.69                ,                    127.62                
13,mayank-agarwal,11,11,424,                    106                ,                    38.54                ,                    156.45                
14,eoin-morgan,14,14,418,                    68*                ,                    41.80                ,                    138.41                
15,sanju-samson,14,14,375,                    85                ,                    28.84                ,                    158.89                
16,ambati-rayudu,12,11,359,                    71                ,                    39.88                ,                    127.30                
17,nicholas-pooran,14,14,353,                    77                ,                    35.30                ,                    169.71                
18,nitish-rana,14,14,352,                    87                ,                    25.14                ,                    138.58                
19,marcus-stoinis,16,16,352,                    65                ,                    27.07                ,                    149.15                
20,jonny-bairstow,11,11,345,                    97                ,                    31.36                ,                    126.83                
21,jos-buttler,13,12,328,                    70*                ,                    32.80                ,                    144.49                
22,kane-williamson,12,11,317,                    67                ,                    45.28                ,                    133.75                
23,steve-smith,14,14,311,                    69                ,                    25.91                ,                    131.22                
24,shane-watson,11,11,299,                    83*                ,                    29.90                ,                    121.05                
25,chris-gayle,7,7,288,                    99                ,                    41.14                ,                    137.14                
26,rishabh-pant,13,13,287,                    38                ,                    28.70                ,                    109.12                
27,ben-stokes,8,8,285,                    107*                ,                    40.71                ,                    142.50                
28,hardik-pandya,13,12,278,                    60*                ,                    39.71                ,                    182.89                
29,aaron-finch,12,12,268,                    52                ,                    22.33                ,                    111.20                
30,rohit-sharma,11,11,264,                    80                ,                    24.00                ,                    126.31                
31,kieron-pollard,15,11,259,                    60*                ,                    64.75                ,                    190.44                
32,rahul-tewatia,14,11,255,                    53                ,                    42.50                ,                    139.34                
33,ravindra-jadeja,14,11,232,                    50                ,                    46.40                ,                    171.85                
34,rahul-tripathi,11,11,230,                    81                ,                    23.00                ,                    127.07                
35,prithvi-shaw,13,13,228,                    66                ,                    17.53                ,                    136.52                
36,wriddhiman-saha,4,4,214,                    87                ,                    71.33                ,                    139.86                
37,ruturaj-gaikwad,6,6,204,                    72                ,                    51.00                ,                    120.71                
38,ms-dhoni,14,12,200,                    47*                ,                    25.00                ,                    116.27                
39,robin-uthappa,12,12,196,                    41                ,                    16.33                ,                    119.51                
40,sam-curran,14,11,186,                    52                ,                    23.25                ,                    131.91                
41,shimron-hetmyer,11,10,180,                    45                ,                    25.71                ,                    150.00                
42,dinesh-karthik,14,14,169,                    58                ,                    14.08                ,                    126.11                
