,player_name,total_matches,wickets,average,srike_rate
0,kagiso-rabada,16,29,                    17.79                ,                    12.96                
1,jasprit-bumrah,14,27,                    13.92                ,                    12.44                
2,trent-boult,14,22,                    19.40                ,                    14.54                
3,yuzvendra-chahal,15,21,                    19.28                ,                    16.33                
4,rashid-khan,16,20,                    17.20                ,                    19.20                
5,jofra-archer,14,20,                    18.25                ,                    16.70                
6,anrich-nortje,15,20,                    24.35                ,                    17.50                
7,mohammad-shami,14,20,                    23.00                ,                    16.10                
8,varun-chakravarthy,13,17,                    20.94                ,                    18.35                
9,t-natarajan,16,16,                    31.50                ,                    23.56                
10,rahul-chahar,15,15,                    28.86                ,                    21.20                
11,sandeep-sharma,13,14,                    26.71                ,                    22.28                
12,jason-holder,7,14,                    16.64                ,                    12.00                
13,ravichandran-ashwin,14,13,                    27.92                ,                    21.69                
14,sam-curran,14,13,                    26.46                ,                    19.38                
15,ravi-bishnoi,14,12,                    31.33                ,                    25.50                
16,deepak-chahar,14,12,                    33.00                ,                    26.00                
17,pat-cummins,14,12,                    34.08                ,                    26.00                
18,marcus-stoinis,16,12,                    21.66                ,                    13.83                
19,chris-morris,9,11,                    19.09                ,                    17.27                
20,mohammed-siraj,9,11,                    21.45                ,                    14.81                
21,james-pattinson,10,11,                    29.09                ,                    19.36                
22,rahul-tewatia,14,10,                    32.60                ,                    27.60                
23,murugan-ashwin,9,10,                    23.50                ,                    18.90                
24,shardul-thakur,9,10,                    27.50                ,                    19.40                
25,shreyas-gopal,14,10,                    42.70                ,                    30.00                
26,axar-patel,14,9,                    34.55                ,                    31.33                
27,shivam-mavi,8,9,                    23.55                ,                    17.33                
28,arshdeep-singh,8,9,                    24.22                ,                    16.55                
29,kartik-tyagi,10,9,                    40.77                ,                    25.44                
30,chris-jordan,9,9,                    33.77                ,                    21.00                
31,lungi-ngidi,4,9,                    18.55                ,                    10.66                
32,washington-sundar,15,8,                    37.25                ,                    37.50                
33,khaleel-ahmed,7,8,                    30.25                ,                    19.25                
34,isuru-udana,10,8,                    35.25                ,                    21.75                
35,krunal-pandya,15,6,                    58.33                ,                    47.16                
36,lockie-ferguson,5,6,                    24.66                ,                    19.83                
37,navdeep-saini,13,6,                    63.16                ,                    45.66                
38,dwayne-bravo,6,6,                    30.00                ,                    21.00                
39,ravindra-jadeja,14,6,                    53.00                ,                    36.33                
40,sheldon-cottrell,6,6,                    29.33                ,                    20.00                
41,piyush-chawla,7,6,                    31.83                ,                    21.00                
42,andre-russell,10,6,                    29.16                ,                    18.00                
43,sunil-narine,10,5,                    60.40                ,                    45.60                
44,shahbaz-nadeem,7,5,                    35.60                ,                    26.40                
45,karn-sharma,5,5,                    33.00                ,                    22.80                
46,kamlesh-nagarkoti,10,5,                    46.20                ,                    31.20                
47,vijay-shankar,7,4,                    20.50                ,                    19.75                
48,shivam-dube,11,4,                    18.25                ,                    13.50                
49,kieron-pollard,15,4,                    44.25                ,                    30.00                
50,prasidh-krishna,6,4,                    41.00                ,                    26.25                
51,jaydev-unadkat,7,4,                    57.00                ,                    34.50                
52,bhuvneshwar-kumar,4,3,                    33.00                ,                    28.33                
53,amit-mishra,3,3,                    24.00                ,                    20.00                
54,nathan-coulter-nile,6,3,                    59.00                ,                    44.00                
55,glenn-maxwell,13,3,                    56.33                ,                    42.00                
56,harshal-patel,5,3,                    44.66                ,                    30.00                
57,tushar-deshpande,5,3,                    64.00                ,                    34.00                
58,tom-curran,5,3,                    69.33                ,                    36.33                
59,shahbaz-ahmed,2,2,                    22.00                ,                    18.00                
60,mitchell-santner,2,2,                    26.50                ,                    21.00                
61,adam-zampa,3,2,                    46.00                ,                    33.00                
62,abhishek-sharma,8,2,                    45.50                ,                    30.00                
63,jimmy-neesham,5,2,                    74.00                ,                    45.00                
64,ben-stokes,8,2,                    77.00                ,                    45.00                
65,ankit-rajpoot,6,2,                    99.50                ,                    51.00                
66,siddarth-kaul,1,2,                    32.00                ,                    12.00                
67,josh-hazlewood,3,1,                    64.00                ,                    60.00                
68,imran-tahir,3,1,                    76.00                ,                    66.00                
69,kuldeep-yadav,5,1,                    92.00                ,                    72.00                
70,moeen-ali,3,1,                    42.00                ,                    30.00                
71,krishnappa-gowtham,2,1,                    84.00                ,                    48.00                
72,mohit-sharma,1,1,                    45.00                ,                    24.00                
73,dale-steyn,3,1,                    133.00                ,                    70.00                
74,basil-thampi,1,1,                    46.00                ,                    24.00                
75,andrew-tye,1,1,                    50.00                ,                    24.00                
76,abdul-samad,12,1,                    96.00                ,                    42.00                
77,mohammad-nabi,1,0,                    -                ,                    -                
78,chris-gayle,7,0,                    -                ,                    -                
79,jayant-yadav,1,0,                    -                ,                    -                
80,dhawal-kulkarni,1,0,                    -                ,                    -                
81,chris-green,1,0,                    -                ,                    -                
82,pravin-dubey,2,0,                    -                ,                    -                
83,ishant-sharma,1,0,                    -                ,                    -                
84,mitchell-marsh,1,0,                    -                ,                    -                
85,deepak-hooda,7,0,                    -                ,                    -                
86,daniel-sams,3,0,                    -                ,                    -                
87,monu-kumar,1,0,                    -                ,                    -                
88,harpreet-brar,1,0,                    -                ,                    -                
89,mujeeb-ur-rahman,2,0,                    -                ,                    -                
90,avesh-khan,1,0,                    -                ,                    -                
91,sandeep-warrier,1,0,                    -                ,                    -                
92,nitish-rana,14,0,                    -                ,                    -                
93,varun-aaron,3,0,                    -                ,                    -                
94,umesh-yadav,2,0,                    -                ,                    -                
95,david-warner,16,0,                    -                ,                    -                
96,kane-williamson,12,0,                    -                ,                    -                
97,riyan-parag,12,0,                    -                ,                    -                
